NM_URNA_CANDIDATO,SG_PARTIDO,IDEOLOGIA_PARTIDO,SG_UF,DS_GENERO,DS_COR_RACA,NR_IDADE_DATA_POSSE,VR_BEM_CANDIDATO,AGRUPAMENTO_BENS,DS_GRAU_INSTRUCAO,DS_OCUPACAO,ST_REELEICAO,NM_EMAIL,NR_CANDIDATO
EVELIN GARAGNANI,PROS,Centro,RS,FEMININO,BRANCA,57.0,nan,nan,ENSINO MÉDIO COMPLETO,PROFESSOR DE ENSINO FUNDAMENTAL,N,NÃO DIVULGÁVEL,9090
LEUR LOMANTO JR,UNIÃO,Direita,BA,MASCULINO,PARDA,46.0,310273.0,BENS_G2,SUPERIOR COMPLETO,DEPUTADO,S,NÃO DIVULGÁVEL,4411
WALLACE PALA PALA,PROS,Centro,RJ,MASCULINO,PRETA,38.0,nan,nan,ENSINO MÉDIO COMPLETO,"ESTUDANTE, BOLSISTA, ESTAGIÁRIO E ASSEMELHADOS",N,NÃO DIVULGÁVEL,9013
DELEGADO MARCUS VINICIUS,PROS,Centro,RJ,MASCULINO,BRANCA,51.0,175000.0,BENS_G3,SUPERIOR COMPLETO,SERVIDOR PÚBLICO ESTADUAL,N,NÃO DIVULGÁVEL,9010
ROCHELLY POTIGUAR,PDT,Esquerda,RN,FEMININO,PARDA,28.0,nan,nan,SUPERIOR COMPLETO,ADVOGADO,N,NÃO DIVULGÁVEL,1288
VICTOR DIMBA,PRTB,Direita,GO,MASCULINO,BRANCA,26.0,nan,nan,SUPERIOR COMPLETO,VEREADOR,N,NÃO DIVULGÁVEL,2899
ELIZABETH MOURA,REPUBLICANOS,Direita,PR,FEMININO,BRANCA,66.0,300000.0,BENS_G2,ENSINO FUNDAMENTAL INCOMPLETO,APOSENTADO (EXCETO SERVIDOR PÚBLICO),N,NÃO DIVULGÁVEL,1057
ANDRÉIA AMARAL,REPUBLICANOS,Direita,SP,FEMININO,BRANCA,51.0,40318.0,BENS_G4,SUPERIOR COMPLETO,PROFESSOR DE ENSINO DE PRIMEIRO E SEGUNDO GRAUS,N,NÃO DIVULGÁVEL,1041
GEO CRUZ,MDB,Centro,AL,MASCULINO,BRANCA,55.0,189000.0,BENS_G3,SUPERIOR INCOMPLETO,SERVIDOR PÚBLICO MUNICIPAL,N,NÃO DIVULGÁVEL,1599
CARLÃO DA AGRICULTURA,PATRIOTA,Direita,RJ,MASCULINO,BRANCA,56.0,367484.0,BENS_G2,ENSINO FUNDAMENTAL COMPLETO,PRODUTOR AGROPECUÁRIO,N,NÃO DIVULGÁVEL,5140
SR VARANDAS,PODE,Direita,RJ,MASCULINO,PARDA,58.0,nan,nan,SUPERIOR COMPLETO,ADVOGADO,N,NÃO DIVULGÁVEL,1955
TITA,PSB,Esquerda,PB,MASCULINO,PRETA,43.0,nan,nan,ENSINO MÉDIO INCOMPLETO,"ESTUDANTE, BOLSISTA, ESTAGIÁRIO E ASSEMELHADOS",N,NÃO DIVULGÁVEL,4066
RAMON LIMA,PSB,Esquerda,SC,MASCULINO,PARDA,27.0,nan,nan,SUPERIOR INCOMPLETO,PROFESSOR DE ENSINO MÉDIO,N,NÃO DIVULGÁVEL,4047
PROFESSORA NATALIA SOARES,PSOL,Esquerda,RJ,FEMININO,PRETA,33.0,18300.0,BENS_G4,SUPERIOR COMPLETO,ADMINISTRADOR,N,NÃO DIVULGÁVEL,5005
MARY ALVES,PMN,Esquerda,AM,FEMININO,BRANCA,59.0,250000.0,BENS_G3,ENSINO MÉDIO COMPLETO,AGENTE DE SAÚDE E SANITARISTA,N,NÃO DIVULGÁVEL,3311
JAIANE CERQUEIRA,PTB,Direita,BA,FEMININO,PARDA,28.0,nan,nan,ENSINO MÉDIO COMPLETO,OUTROS,N,NÃO DIVULGÁVEL,1467
TAYNA CEPO,UNIÃO,Direita,PE,FEMININO,PARDA,30.0,150000.0,BENS_G3,ENSINO MÉDIO COMPLETO,PRODUTOR DE ESPETÁCULOS PÚBLICOS,N,NÃO DIVULGÁVEL,4474
JULIANA GUERRA,PATRIOTA,Direita,MG,FEMININO,BRANCA,38.0,nan,nan,SUPERIOR INCOMPLETO,CABELEIREIRO E BARBEIRO,N,NÃO DIVULGÁVEL,5116
RUY CARNEIRO,PSC,Direita,PB,MASCULINO,BRANCA,52.0,660988.0,BENS_G2,SUPERIOR COMPLETO,DEPUTADO,S,NÃO DIVULGÁVEL,2030
BATISTA NEVES FILHO,PODE,Direita,BA,MASCULINO,BRANCA,44.0,2004019.0,BENS_G1,SUPERIOR COMPLETO,ADVOGADO,N,NÃO DIVULGÁVEL,1918
FAGNER FERNANDES,PDT,Esquerda,PE,MASCULINO,BRANCA,40.0,55000.0,BENS_G4,SUPERIOR INCOMPLETO,VEREADOR,N,NÃO DIVULGÁVEL,1202
PROFESSOR DIEGO,PSB,Esquerda,RN,MASCULINO,PARDA,38.0,13797.0,BENS_G4,SUPERIOR INCOMPLETO,VEREADOR,N,NÃO DIVULGÁVEL,4077
DANIELE CASTELO BRANCO,PMN,Esquerda,CE,FEMININO,PARDA,35.0,nan,nan,LÊ E ESCREVE,DONA DE CASA,N,NÃO DIVULGÁVEL,3303
PAULÃO,PT,Esquerda,AL,MASCULINO,PARDA,65.0,4946.0,BENS_G4,SUPERIOR COMPLETO,DEPUTADO,S,NÃO DIVULGÁVEL,1313
BRUXÃO CAVANHA,PL,Direita,SP,MASCULINO,BRANCA,46.0,502913.0,BENS_G2,SUPERIOR COMPLETO,VEREADOR,N,NÃO DIVULGÁVEL,2282
RICARDO MACHADO,PCO,Esquerda,DF,MASCULINO,PARDA,61.0,88000.0,BENS_G3,SUPERIOR COMPLETO,SERVIDOR PÚBLICO FEDERAL,N,NÃO DIVULGÁVEL,2929
HIGOR,PSB,Esquerda,MA,MASCULINO,PARDA,35.0,190000.0,BENS_G3,SUPERIOR COMPLETO,BANCÁRIO E ECONOMIÁRIO,N,NÃO DIVULGÁVEL,4040
JEFERSON DA FUNERÁRIA,PATRIOTA,Direita,PR,MASCULINO,BRANCA,47.0,nan,nan,ENSINO FUNDAMENTAL COMPLETO,EMPRESÁRIO,N,NÃO DIVULGÁVEL,5125
GUIM PAGANNINY,PODE,Direita,MG,MASCULINO,PRETA,47.0,30000.0,BENS_G4,ENSINO MÉDIO COMPLETO,OUTROS,N,NÃO DIVULGÁVEL,1905
ARTHUR MAIA,UNIÃO,Direita,BA,MASCULINO,BRANCA,58.0,2553237.0,BENS_G1,SUPERIOR COMPLETO,DEPUTADO,S,NÃO DIVULGÁVEL,4412
MARIA JOSÉ COSTA,PSB,Esquerda,GO,FEMININO,PARDA,55.0,125000.0,BENS_G3,ENSINO MÉDIO COMPLETO,OCUPANTE DE CARGO EM COMISSÃO,N,NÃO DIVULGÁVEL,4003
NETO DO TAUÁ,PDT,Esquerda,PA,MASCULINO,PARDA,32.0,20000.0,BENS_G4,SUPERIOR COMPLETO,PROFESSOR DE ENSINO MÉDIO,N,NÃO DIVULGÁVEL,1200
SÂMIA BOMFIM,PSOL,Esquerda,SP,FEMININO,BRANCA,33.0,245814.0,BENS_G3,SUPERIOR COMPLETO,DEPUTADO,S,NÃO DIVULGÁVEL,5000
MAISA FERNANDES,PSOL,Esquerda,MG,FEMININO,PRETA,63.0,220000.0,BENS_G3,SUPERIOR COMPLETO,ADMINISTRADOR,N,NÃO DIVULGÁVEL,5010
FERNANDA ARAÚJO,PSD,Direita,SP,FEMININO,BRANCA,25.0,5000.0,BENS_G4,SUPERIOR COMPLETO,EMPRESÁRIO,N,NÃO DIVULGÁVEL,5529
DEACY RIBEIRO,PTB,Direita,BA,FEMININO,BRANCA,62.0,532246.0,BENS_G2,SUPERIOR COMPLETO,OUTROS,N,NÃO DIVULGÁVEL,1466
ANNE TÁVORA,PDT,Esquerda,AP,FEMININO,PARDA,40.0,nan,nan,SUPERIOR COMPLETO,PROFESSOR DE ENSINO FUNDAMENTAL,N,NÃO DIVULGÁVEL,1213
DANI LUCI,PSDB,Centro,SP,FEMININO,BRANCA,46.0,21760.0,BENS_G4,SUPERIOR COMPLETO,OUTROS,N,NÃO DIVULGÁVEL,4570
VIVI ALVES,SOLIDARIEDADE,Centro,DF,FEMININO,PRETA,36.0,nan,nan,ENSINO MÉDIO INCOMPLETO,GERENTE,N,NÃO DIVULGÁVEL,7757
JOÃO PAULO,DC,Direita,TO,MASCULINO,PARDA,31.0,nan,nan,ENSINO MÉDIO COMPLETO,OUTROS,N,NÃO DIVULGÁVEL,2723
DAYANA MARTINS,PROS,Centro,GO,FEMININO,PARDA,41.0,2200459.0,BENS_G1,SUPERIOR COMPLETO,DONA DE CASA,N,NÃO DIVULGÁVEL,9091
PATRÍCIA MORAES,AGIR,Direita,PA,FEMININO,PARDA,41.0,nan,nan,ENSINO MÉDIO COMPLETO,"VENDEDOR PRACISTA, REPRESENTANTE, CAIXEIRO-VIAJANTE E ASSEMELHADOS",N,NÃO DIVULGÁVEL,3623
ROBERTO EMIDIO ,PP,Direita,RJ,MASCULINO,PARDA,48.0,200000.0,BENS_G3,ENSINO MÉDIO COMPLETO,VEREADOR,N,NÃO DIVULGÁVEL,1125
BRENDA ROMPATTO,PSB,Esquerda,PR,FEMININO,BRANCA,27.0,nan,nan,SUPERIOR COMPLETO,EMPRESÁRIO,N,NÃO DIVULGÁVEL,4004
JORGE ANTONINI,PT,Esquerda,GO,MASCULINO,PARDA,70.0,1037252.0,BENS_G1,SUPERIOR COMPLETO,OUTROS,N,NÃO DIVULGÁVEL,1356
SOL SOUZA,PMN,Esquerda,SP,FEMININO,BRANCA,53.0,170000.0,BENS_G3,ENSINO MÉDIO INCOMPLETO,OUTROS,N,NÃO DIVULGÁVEL,3318
DAVID CARDOSO,PL,Direita,SP,MASCULINO,BRANCA,52.0,667956.0,BENS_G2,SUPERIOR INCOMPLETO,ATOR E DIRETOR DE ESPETÁCULOS PÚBLICOS,N,NÃO DIVULGÁVEL,2256
PAULÃO,PATRIOTA,Direita,MG,MASCULINO,BRANCA,63.0,260000.0,BENS_G3,ENSINO MÉDIO COMPLETO,APOSENTADO (EXCETO SERVIDOR PÚBLICO),N,NÃO DIVULGÁVEL,5159
HAMILTON ROCHA,PV,Esquerda,RJ,MASCULINO,BRANCA,59.0,426000.0,BENS_G2,SUPERIOR COMPLETO,ENFERMEIRO,N,NÃO DIVULGÁVEL,4358
BENEDITA DA SILVA,PT,Esquerda,RJ,FEMININO,PRETA,80.0,1072642.0,BENS_G1,SUPERIOR COMPLETO,DEPUTADO,S,NÃO DIVULGÁVEL,1377
ROSI GUIMARÃES,AVANTE,Centro,GO,FEMININO,PARDA,40.0,230000.0,BENS_G3,SUPERIOR COMPLETO,PROFESSOR DE ENSINO MÉDIO,N,NÃO DIVULGÁVEL,7000
BARBARA BERNARDES,MDB,Centro,RJ,FEMININO,PARDA,39.0,nan,nan,ENSINO MÉDIO COMPLETO,OUTROS,N,NÃO DIVULGÁVEL,1527
MARIA DAS NEVES,PMB,Direita,MA,FEMININO,BRANCA,65.0,nan,nan,ENSINO MÉDIO COMPLETO,DONA DE CASA,N,NÃO DIVULGÁVEL,3540
DARIA CRISTINA,PODE,Direita,GO,FEMININO,BRANCA,64.0,74700.0,BENS_G4,ENSINO MÉDIO COMPLETO,SACERDOTE OU MEMBRO DE ORDEM OU SEITA RELIGIOSA,N,NÃO DIVULGÁVEL,1920
MÁRCIO SANTOS,PSB,Esquerda,PA,MASCULINO,PARDA,43.0,nan,nan,ENSINO MÉDIO COMPLETO,"CARPINTEIRO, MARCENEIRO E ASSEMELHADOS",N,NÃO DIVULGÁVEL,4007
DRA VERA LOPES,REPUBLICANOS,Direita,PE,FEMININO,BRANCA,72.0,6461000.0,BENS_G1,SUPERIOR COMPLETO,MÉDICO,N,NÃO DIVULGÁVEL,1023
FLÁVIO SILVA,PSOL,Esquerda,SP,MASCULINO,BRANCA,59.0,nan,nan,SUPERIOR COMPLETO,MOTORISTA PARTICULAR,N,NÃO DIVULGÁVEL,5067
PROF. LUCINEIDE,DC,Direita,DF,FEMININO,PRETA,58.0,935868.0,BENS_G1,LÊ E ESCREVE,OUTROS,N,NÃO DIVULGÁVEL,2700
RANIERY PAULINO,REPUBLICANOS,Direita,PB,MASCULINO,BRANCA,44.0,1781600.0,BENS_G1,SUPERIOR COMPLETO,DEPUTADO,N,NÃO DIVULGÁVEL,1015
PROF ELIETE PAIXÃO,SOLIDARIEDADE,Centro,GO,FEMININO,PARDA,47.0,23785.0,BENS_G4,SUPERIOR COMPLETO,PROFESSOR DE ENSINO FUNDAMENTAL,N,NÃO DIVULGÁVEL,7778
DANDARA,PT,Esquerda,SE,FEMININO,PRETA,34.0,nan,nan,SUPERIOR COMPLETO,PROFESSOR DE ENSINO MÉDIO,N,NÃO DIVULGÁVEL,1379
MAJOR WALLACE,PATRIOTA,Direita,ES,MASCULINO,BRANCA,52.0,457537.0,BENS_G2,SUPERIOR COMPLETO,ADVOGADO,N,NÃO DIVULGÁVEL,5133
ODISSÉIA FORÇA BRASIL,PTB,Direita,DF,FEMININO,PARDA,43.0,nan,nan,SUPERIOR INCOMPLETO,EMPRESÁRIO,N,NÃO DIVULGÁVEL,1456
ALEX CAMPANHAO,PSOL,Esquerda,RJ,MASCULINO,BRANCA,41.0,500.0,BENS_G4,ENSINO MÉDIO COMPLETO,MOTORISTA PARTICULAR,N,NÃO DIVULGÁVEL,5071
GENÁRIO ROCHA,PRTB,Direita,PE,MASCULINO,PARDA,67.0,0.0,BENS_G4,SUPERIOR COMPLETO,"VENDEDOR PRACISTA, REPRESENTANTE, CAIXEIRO-VIAJANTE E ASSEMELHADOS",N,NÃO DIVULGÁVEL,2844
LUANA LEMOS,REPUBLICANOS,Direita,RO,FEMININO,BRANCA,28.0,nan,nan,SUPERIOR COMPLETO,PSICÓLOGO,N,NÃO DIVULGÁVEL,1077
TASSYO MARDONNY,PSC,Direita,RN,MASCULINO,PARDA,34.0,60647.0,BENS_G4,SUPERIOR INCOMPLETO,COMERCIANTE,N,NÃO DIVULGÁVEL,2000
DELEGADO JAMES GUERRA,REPUBLICANOS,Direita,PI,MASCULINO,BRANCA,46.0,nan,nan,SUPERIOR COMPLETO,POLICIAL CIVIL,N,NÃO DIVULGÁVEL,1020
FATIMA GUEDES,SOLIDARIEDADE,Centro,MT,FEMININO,BRANCA,56.0,95000.0,BENS_G3,SUPERIOR COMPLETO,PEDAGOGO,N,NÃO DIVULGÁVEL,7775
MARY REIS,PDT,Esquerda,PA,FEMININO,PARDA,53.0,4500000.0,BENS_G1,SUPERIOR COMPLETO,EMPRESÁRIO,N,NÃO DIVULGÁVEL,1207
DR RUI,MDB,Centro,SP,MASCULINO,BRANCA,59.0,455070.0,BENS_G2,SUPERIOR COMPLETO,MÉDICO,N,NÃO DIVULGÁVEL,1553
ELIZEU MACIEL,AVANTE,Centro,PE,MASCULINO,BRANCA,70.0,nan,nan,SUPERIOR COMPLETO,ADVOGADO,N,NÃO DIVULGÁVEL,7022
LEANDRO ALMEIDA,PDT,Esquerda,RS,MASCULINO,BRANCA,66.0,nan,nan,ENSINO MÉDIO INCOMPLETO,APOSENTADO (EXCETO SERVIDOR PÚBLICO),N,NÃO DIVULGÁVEL,1299
IRMÃO ELIAS,UNIÃO,Direita,PI,MASCULINO,PARDA,69.0,903497.0,BENS_G1,SUPERIOR COMPLETO,OUTROS,N,NÃO DIVULGÁVEL,4455
JENNIFER BOMFIM,UP,Esquerda,SE,FEMININO,PRETA,22.0,137.0,BENS_G4,ENSINO MÉDIO COMPLETO,"ESTUDANTE, BOLSISTA, ESTAGIÁRIO E ASSEMELHADOS",N,NÃO DIVULGÁVEL,8008
GERALDO CORREIA,PSDB,Centro,CE,MASCULINO,PARDA,66.0,nan,nan,SUPERIOR COMPLETO,SERVIDOR PÚBLICO ESTADUAL,N,NÃO DIVULGÁVEL,4568
LEILA PIMENTA,PMB,Direita,MG,FEMININO,PARDA,44.0,nan,nan,SUPERIOR COMPLETO,PROFESSOR DE ENSINO FUNDAMENTAL,N,NÃO DIVULGÁVEL,3508
CÍNTIA RESENDE,PSDB,Centro,MG,FEMININO,PARDA,37.0,nan,nan,ENSINO MÉDIO INCOMPLETO,OUTROS,N,NÃO DIVULGÁVEL,4578
ILACIR BICALHO,PSC,Direita,MG,MASCULINO,BRANCA,68.0,1143875.0,BENS_G1,SUPERIOR COMPLETO,VEREADOR,N,NÃO DIVULGÁVEL,2022
MARIA COSTA,PODE,Direita,SP,FEMININO,BRANCA,42.0,nan,nan,ENSINO MÉDIO COMPLETO,AGENTE ADMINISTRATIVO,N,NÃO DIVULGÁVEL,1913
DR. CARLOS PAVANELLI BATISTA,MDB,Centro,MG,MASCULINO,BRANCA,70.0,1349906.0,BENS_G1,SUPERIOR COMPLETO,ADVOGADO,N,NÃO DIVULGÁVEL,1517
FABIO TERUEL,MDB,Centro,SP,MASCULINO,BRANCA,51.0,12094157.0,BENS_G1,SUPERIOR COMPLETO,PUBLICITÁRIO,N,NÃO DIVULGÁVEL,1580
MARGARETE REIS,PL,Direita,SP,FEMININO,BRANCA,53.0,240000.0,BENS_G3,SUPERIOR COMPLETO,POLICIAL MILITAR,N,NÃO DIVULGÁVEL,2237
SARGENTO PENTE MEL,PMN,Esquerda,PR,MASCULINO,BRANCA,49.0,nan,nan,ENSINO MÉDIO COMPLETO,BOMBEIRO MILITAR,N,NÃO DIVULGÁVEL,3351
PEDRO AMENGOL,PT,Esquerda,MA,MASCULINO,PRETA,61.0,1074796.0,BENS_G1,SUPERIOR COMPLETO,ADVOGADO,N,NÃO DIVULGÁVEL,1347
ENFERMEIRA GIZELE,PP,Direita,TO,FEMININO,BRANCA,42.0,15005.0,BENS_G4,SUPERIOR COMPLETO,ENFERMEIRO,N,NÃO DIVULGÁVEL,1155
LINOBERG,PSD,Direita,RR,MASCULINO,PRETA,46.0,640000.0,BENS_G2,SUPERIOR COMPLETO,PROFESSOR DE ENSINO SUPERIOR,N,NÃO DIVULGÁVEL,5595
RODNEY MIRANDA,REPUBLICANOS,Direita,GO,MASCULINO,PARDA,58.0,2448865.0,BENS_G1,SUPERIOR COMPLETO,SERVIDOR PÚBLICO CIVIL APOSENTADO,N,NÃO DIVULGÁVEL,1077
YULA MEROLA,AVANTE,Centro,MG,FEMININO,BRANCA,51.0,58859.0,BENS_G4,SUPERIOR COMPLETO,FARMACÊUTICO,N,NÃO DIVULGÁVEL,7088
CARLÃO PAPAGAIO,CIDADANIA,Esquerda,PR,MASCULINO,BRANCA,62.0,nan,nan,ENSINO MÉDIO COMPLETO,OUTROS,N,NÃO DIVULGÁVEL,2301
JAMMES SOBREIRA,PMB,Direita,AL,MASCULINO,PARDA,40.0,nan,nan,ENSINO MÉDIO COMPLETO,AGENTE DE SAÚDE E SANITARISTA,N,NÃO DIVULGÁVEL,3533
MARCUS VINICIUS MARTINS,CIDADANIA,Esquerda,RJ,MASCULINO,PARDA,62.0,2975000.0,BENS_G1,SUPERIOR COMPLETO,OUTROS,N,NÃO DIVULGÁVEL,2310
JUAREZ LEITÃO,PSD,Direita,AC,MASCULINO,BRANCA,57.0,400000.0,BENS_G2,ENSINO MÉDIO COMPLETO,OUTROS,N,NÃO DIVULGÁVEL,5588
SUBOFICIAL FLAVIA,PRTB,Direita,MS,FEMININO,PRETA,46.0,218278.0,BENS_G3,SUPERIOR COMPLETO,MEMBRO DAS FORÇAS ARMADAS,N,NÃO DIVULGÁVEL,2867
DR PAULO MILAZZO,REPUBLICANOS,Direita,MG,MASCULINO,BRANCA,64.0,593920.0,BENS_G2,SUPERIOR COMPLETO,ODONTÓLOGO,N,NÃO DIVULGÁVEL,1023
LUIS SANTA CRUZ,DC,Direita,RJ,MASCULINO,BRANCA,67.0,1320000.0,BENS_G1,SUPERIOR COMPLETO,ADMINISTRADOR,N,NÃO DIVULGÁVEL,2732
FERNANDO BEILFUSS,PATRIOTA,Direita,SC,MASCULINO,BRANCA,43.0,857000.0,BENS_G1,SUPERIOR COMPLETO,OUTROS,N,NÃO DIVULGÁVEL,5100
PROFESSORA JOSENAI TERRA,PTB,Direita,MT,FEMININO,BRANCA,54.0,40006.0,BENS_G4,SUPERIOR COMPLETO,PROFESSOR DE ENSINO MÉDIO,N,NÃO DIVULGÁVEL,1438
JAMERSON FERREIRA,PSC,Direita,PB,MASCULINO,BRANCA,40.0,49000.0,BENS_G4,SUPERIOR COMPLETO,VEREADOR,N,NÃO DIVULGÁVEL,2023
CLAUDINEI DA ROCHA,MDB,Centro,SP,MASCULINO,BRANCA,55.0,nan,nan,SUPERIOR COMPLETO,"SENADOR, DEPUTADO E VEREADOR",N,NÃO DIVULGÁVEL,1542
PAULO RINK,SOLIDARIEDADE,Centro,PR,MASCULINO,BRANCA,49.0,3701881.0,BENS_G1,SUPERIOR COMPLETO,EMPRESÁRIO,N,NÃO DIVULGÁVEL,7744
MOSES RODRIGUES,UNIÃO,Direita,CE,MASCULINO,BRANCA,44.0,1512462.0,BENS_G1,SUPERIOR COMPLETO,DEPUTADO,S,NÃO DIVULGÁVEL,4488
CADORE,PSDB,Centro,RS,MASCULINO,BRANCA,69.0,609906.0,BENS_G2,SUPERIOR COMPLETO,ODONTÓLOGO,N,NÃO DIVULGÁVEL,4510
ADEMIR DO JUSTINÓPOLIS,PSC,Direita,MG,MASCULINO,NÃO INFORMADO,48.0,313000.0,BENS_G2,ENSINO FUNDAMENTAL COMPLETO,OUTROS,N,NÃO DIVULGÁVEL,2034
ARQUIDONES,PT,Esquerda,GO,MASCULINO,PARDA,60.0,220000.0,BENS_G3,SUPERIOR COMPLETO,PROFESSOR DE ENSINO MÉDIO,N,NÃO DIVULGÁVEL,1300
FELIPE FRANCISCHINI,UNIÃO,Direita,PR,MASCULINO,BRANCA,31.0,845500.0,BENS_G1,SUPERIOR COMPLETO,ADVOGADO,S,NÃO DIVULGÁVEL,4444
ROBSON PENTECOSTE,AGIR,Direita,SP,MASCULINO,PARDA,52.0,nan,nan,ENSINO MÉDIO COMPLETO,OUTROS,N,NÃO DIVULGÁVEL,3617
GERALDINO DA ZONA LESTE,PTB,Direita,PR,MASCULINO,PRETA,76.0,nan,nan,ENSINO FUNDAMENTAL COMPLETO,OUTROS,N,NÃO DIVULGÁVEL,1499
ISIS COSTA,PSDB,Centro,RJ,FEMININO,PRETA,31.0,nan,nan,ENSINO MÉDIO COMPLETO,EMPRESÁRIO,N,NÃO DIVULGÁVEL,4567
RODRIGO ESTACHO,PSD,Direita,PR,MASCULINO,BRANCA,34.0,1008220.0,BENS_G1,SUPERIOR INCOMPLETO,EMPRESÁRIO,N,NÃO DIVULGÁVEL,5556
AROLDO PINTO,PSB,Esquerda,BA,MASCULINO,PARDA,52.0,48000.0,BENS_G4,SUPERIOR COMPLETO,AGENTE ADMINISTRATIVO,N,NÃO DIVULGÁVEL,4013
MARCELO ROSSI,PTB,Direita,SP,MASCULINO,BRANCA,54.0,93900.0,BENS_G3,SUPERIOR INCOMPLETO,OUTROS,N,NÃO DIVULGÁVEL,1468
IVONALDO MOURA,PDT,Esquerda,BA,MASCULINO,PRETA,38.0,nan,nan,SUPERIOR COMPLETO,AGENTE DE SAÚDE E SANITARISTA,N,NÃO DIVULGÁVEL,1238
EVALDO ALVES,PSC,Direita,MG,MASCULINO,PARDA,50.0,nan,nan,SUPERIOR COMPLETO,OUTROS,N,NÃO DIVULGÁVEL,2032
CÂNDIDO,AVANTE,Centro,PE,MASCULINO,PARDA,52.0,818.0,BENS_G4,SUPERIOR COMPLETO,ENFERMEIRO,N,NÃO DIVULGÁVEL,7066
