NM_URNA_CANDIDATO,SG_PARTIDO,IDEOLOGIA_PARTIDO,SG_UF,DS_GENERO,DS_COR_RACA,NR_IDADE_DATA_POSSE,VR_BEM_CANDIDATO,AGRUPAMENTO_BENS,DS_GRAU_INSTRUCAO,DS_OCUPACAO,ST_REELEICAO,NM_EMAIL,NR_CANDIDATO
DR ADAIRES,PDT,Esquerda,TO,MASCULINO,PARDA,41.0,20000.0,BENS_G4,SUPERIOR COMPLETO,ADVOGADO,N,NÃO DIVULGÁVEL,12612
EDUARDO CAVALIERE,PSD,Direita,RJ,MASCULINO,BRANCA,28.0,30463.0,BENS_G4,SUPERIOR COMPLETO,ADVOGADO,N,NÃO DIVULGÁVEL,55001
NICINHA,PMN,Esquerda,SE,FEMININO,PARDA,50.0,nan,nan,ENSINO MÉDIO COMPLETO,"CABELEIREIRO, BARBEIRO, MANICURE, MAQUILADOR, ESTETICISTA E MASSAGISTA",N,NÃO DIVULGÁVEL,33800
PROF PAULO HENRIQUE,PSDB,Centro,AC,MASCULINO,PARDA,30.0,134000.0,BENS_G3,SUPERIOR COMPLETO,DIRETOR DE ESTABELECIMENTO DE ENSINO,N,NÃO DIVULGÁVEL,45777
DANIEL BRANDÃO,PSC,Direita,MA,MASCULINO,PARDA,51.0,2000000.0,BENS_G1,SUPERIOR COMPLETO,POLICIAL CIVIL,N,NÃO DIVULGÁVEL,20022
LAERCIO,AVANTE,Centro,PA,MASCULINO,BRANCA,28.0,nan,nan,SUPERIOR COMPLETO,OUTROS,N,NÃO DIVULGÁVEL,70033
CLÁUDIA MOTA,PSC,Direita,MG,FEMININO,BRANCA,47.0,nan,nan,ENSINO MÉDIO COMPLETO,VENDEDOR DE COMÉRCIO VAREJISTA E ATACADISTA,N,NÃO DIVULGÁVEL,20212
JOSÉ MARIA TAPAJÓS,PP,Direita,PA,MASCULINO,PARDA,66.0,331000.0,BENS_G2,ENSINO MÉDIO COMPLETO,EMPRESÁRIO,S,NÃO DIVULGÁVEL,11456
IRMÃO PAVÃO,DC,Direita,MA,MASCULINO,PRETA,63.0,nan,nan,ENSINO FUNDAMENTAL COMPLETO,OUTROS,N,NÃO DIVULGÁVEL,27234
DR. ANTENOR,PT,Esquerda,PR,MASCULINO,BRANCA,63.0,194195.0,BENS_G3,SUPERIOR COMPLETO,MÉDICO,N,NÃO DIVULGÁVEL,13500
GENILSON CUNHA,DC,Direita,MA,MASCULINO,BRANCA,52.0,nan,nan,ENSINO MÉDIO COMPLETO,VIGILANTE,N,NÃO DIVULGÁVEL,27149
ELIZABETH ARAUJO,PRTB,Direita,PA,FEMININO,PARDA,46.0,nan,nan,ENSINO MÉDIO COMPLETO,PROFESSOR DE ENSINO FUNDAMENTAL,N,NÃO DIVULGÁVEL,28147
ADILSON STUZATA,PT,Esquerda,PR,MASCULINO,BRANCA,55.0,1481731.0,BENS_G1,SUPERIOR COMPLETO,OUTROS,N,NÃO DIVULGÁVEL,13041
ALAN SANTOS,PODE,Direita,AP,MASCULINO,PARDA,40.0,nan,nan,ENSINO MÉDIO COMPLETO,OUTROS,N,NÃO DIVULGÁVEL,19192
WESLEY BATERIA,PDT,Esquerda,TO,MASCULINO,BRANCA,58.0,5000.0,BENS_G4,ENSINO MÉDIO COMPLETO,ENGENHEIRO,N,NÃO DIVULGÁVEL,12100
CAPITÃO PRADO,UNIÃO,Direita,BA,MASCULINO,PARDA,41.0,nan,nan,SUPERIOR COMPLETO,POLICIAL MILITAR,N,NÃO DIVULGÁVEL,44001
BENÉ DO VITAL,PTB,Direita,RJ,MASCULINO,PRETA,65.0,nan,nan,ENSINO MÉDIO COMPLETO,OUTROS,N,NÃO DIVULGÁVEL,14234
DR KAROL,PTB,Direita,PA,MASCULINO,PARDA,41.0,nan,nan,SUPERIOR COMPLETO,ADVOGADO,N,NÃO DIVULGÁVEL,14014
SILVIA LOBATO,PTB,Direita,PA,FEMININO,PARDA,54.0,nan,nan,SUPERIOR COMPLETO,PEDAGOGO,N,NÃO DIVULGÁVEL,14007
MAURÍCIO FILHO,UNIÃO,Direita,RN,MASCULINO,BRANCA,27.0,20000.0,BENS_G4,SUPERIOR COMPLETO,OUTROS,N,NÃO DIVULGÁVEL,44333
CLAYTON BERTOTTO,SOLIDARIEDADE,Centro,SC,MASCULINO,BRANCA,35.0,45150.0,BENS_G4,SUPERIOR COMPLETO,OUTROS,N,NÃO DIVULGÁVEL,77900
ADVOGADA ROSANE,PSOL,Esquerda,SC,FEMININO,BRANCA,61.0,563000.0,BENS_G2,SUPERIOR COMPLETO,ADVOGADO,N,NÃO DIVULGÁVEL,50500
SILVANEI BATISTA,PV,Esquerda,MG,MASCULINO,BRANCA,45.0,187821.0,BENS_G3,ENSINO MÉDIO COMPLETO,VENDEDOR DE COMÉRCIO VAREJISTA E ATACADISTA,N,NÃO DIVULGÁVEL,43789
GEILSON COSTA,PATRIOTA,Direita,RN,MASCULINO,BRANCA,44.0,nan,nan,ENSINO MÉDIO COMPLETO,EMPREGADO DOMÉSTICO,N,NÃO DIVULGÁVEL,51111
MARCOS VALLE,PMB,Direita,SP,MASCULINO,AMARELA,50.0,nan,nan,ENSINO MÉDIO COMPLETO,POLICIAL MILITAR,N,NÃO DIVULGÁVEL,35081
MAJOR ALIPIO,PRTB,Direita,RJ,MASCULINO,BRANCA,50.0,82000.0,BENS_G3,SUPERIOR COMPLETO,BOMBEIRO MILITAR,N,NÃO DIVULGÁVEL,28199
NELSON ARAUJO,DC,Direita,SE,MASCULINO,PARDA,80.0,16980.0,BENS_G4,SUPERIOR COMPLETO,EMPRESÁRIO,N,NÃO DIVULGÁVEL,27000
GISLAINE LANDVOIGT,SOLIDARIEDADE,Centro,MS,FEMININO,BRANCA,46.0,172000.0,BENS_G3,SUPERIOR COMPLETO,TRABALHADOR DE HOTELARIA,N,NÃO DIVULGÁVEL,77789
SARGENTO VIANA,PP,Direita,MS,MASCULINO,BRANCA,53.0,153352.0,BENS_G3,SUPERIOR COMPLETO,APOSENTADO (EXCETO SERVIDOR PÚBLICO),N,NÃO DIVULGÁVEL,11022
DRA FABIOLA MANSUR,PSB,Esquerda,BA,FEMININO,BRANCA,60.0,1846446.0,BENS_G1,SUPERIOR COMPLETO,DEPUTADO,S,NÃO DIVULGÁVEL,40040
DEAN ARAÚJO,CIDADANIA,Esquerda,MA,MASCULINO,PARDA,42.0,37000.0,BENS_G4,SUPERIOR INCOMPLETO,REPRESENTANTE COMERCIAL,N,NÃO DIVULGÁVEL,23789
ADRIANA ANDRADE,AGIR,Direita,AC,FEMININO,PARDA,41.0,nan,nan,ENSINO MÉDIO COMPLETO,EMPREGADO DOMÉSTICO,N,NÃO DIVULGÁVEL,36461
CLAUDIA URIAS,PSD,Direita,SP,FEMININO,BRANCA,51.0,nan,nan,SUPERIOR COMPLETO,OUTROS,N,NÃO DIVULGÁVEL,55025
DOUGLAS MELO,PSD,Direita,MG,MASCULINO,PARDA,39.0,1011437.0,BENS_G1,SUPERIOR COMPLETO,PUBLICITÁRIO,S,NÃO DIVULGÁVEL,55800
JORGE MACEDO,PSDB,Centro,RJ,MASCULINO,PARDA,59.0,19500.0,BENS_G4,ENSINO MÉDIO COMPLETO,SERVIDOR PÚBLICO MUNICIPAL,N,NÃO DIVULGÁVEL,45650
ARIELY PEDROSO,PSC,Direita,SP,FEMININO,PARDA,24.0,nan,nan,SUPERIOR INCOMPLETO,"ESTUDANTE, BOLSISTA, ESTAGIÁRIO E ASSEMELHADOS",N,NÃO DIVULGÁVEL,20420
ALESSANDRA CAMPELO,PSC,Direita,AM,FEMININO,BRANCA,48.0,998255.0,BENS_G1,SUPERIOR COMPLETO,DEPUTADO,S,NÃO DIVULGÁVEL,20123
SANDY DE PAULA,UNIÃO,Direita,MT,FEMININO,BRANCA,31.0,163130.0,BENS_G3,SUPERIOR COMPLETO,ADVOGADO,N,NÃO DIVULGÁVEL,44444
TERESA CARNEIRO,PSDB,Centro,PB,FEMININO,BRANCA,39.0,nan,nan,SUPERIOR COMPLETO,ENGENHEIRO,N,NÃO DIVULGÁVEL,45999
ANINHA OVIEDO,REPUBLICANOS,Direita,RS,FEMININO,PRETA,53.0,nan,nan,ENSINO MÉDIO INCOMPLETO,OUTROS,N,NÃO DIVULGÁVEL,10512
LUCAS DE LIMA DO AMOR SEM FIM,PDT,Esquerda,MS,MASCULINO,BRANCA,53.0,426996.0,BENS_G2,ENSINO MÉDIO COMPLETO,LOCUTOR E COMENTARISTA DE RÁDIO E TELEVISÃO E RADIALISTA,S,NÃO DIVULGÁVEL,12000
NEI SALVIANO,PSDB,Centro,MS,MASCULINO,BRANCA,62.0,99121.0,BENS_G3,SUPERIOR COMPLETO,ADVOGADO,N,NÃO DIVULGÁVEL,45007
PROFESSORA JOSETE,PT,Esquerda,PR,FEMININO,BRANCA,59.0,444176.0,BENS_G2,SUPERIOR COMPLETO,PROFESSOR DE ENSINO FUNDAMENTAL,N,NÃO DIVULGÁVEL,13613
GARIBALDE,PDT,Esquerda,SE,MASCULINO,BRANCA,66.0,1416628.0,BENS_G1,SUPERIOR COMPLETO,DEPUTADO,S,NÃO DIVULGÁVEL,12111
SIMONE SPONHOLZ,PL,Direita,PR,FEMININO,BRANCA,49.0,1197907.0,BENS_G1,SUPERIOR COMPLETO,DONA DE CASA,N,NÃO DIVULGÁVEL,22001
ADENILSON ROCHA,PSDB,Centro,MT,MASCULINO,PARDA,42.0,455226.0,BENS_G2,SUPERIOR COMPLETO,EMPRESÁRIO,N,NÃO DIVULGÁVEL,45045
ROSSENIR GUEDES,AVANTE,Centro,CE,MASCULINO,PARDA,45.0,nan,nan,ENSINO MÉDIO COMPLETO,COMERCIANTE,N,NÃO DIVULGÁVEL,70500
LIDO STROPPER,PATRIOTA,Direita,RS,MASCULINO,BRANCA,61.0,634000.0,BENS_G2,SUPERIOR COMPLETO,OUTROS,N,NÃO DIVULGÁVEL,51051
ISA DI MORAIS,DC,Direita,RJ,FEMININO,BRANCA,53.0,nan,nan,ENSINO MÉDIO COMPLETO,ATOR E DIRETOR DE ESPETÁCULOS PÚBLICOS,N,NÃO DIVULGÁVEL,27008
EDIVALDINHO,PP,Direita,BA,MASCULINO,PARDA,33.0,nan,nan,SUPERIOR INCOMPLETO,OUTROS,N,NÃO DIVULGÁVEL,11334
ED.CARRETA,PP,Direita,BA,MASCULINO,PARDA,44.0,nan,nan,ENSINO MÉDIO COMPLETO,OUTROS,N,NÃO DIVULGÁVEL,11005
JEAN FERREIRA,PDT,Esquerda,MS,MASCULINO,BRANCA,24.0,nan,nan,SUPERIOR INCOMPLETO,"ESTUDANTE, BOLSISTA, ESTAGIÁRIO E ASSEMELHADOS",N,NÃO DIVULGÁVEL,12067
MARIA DO CARMO,MDB,Centro,SP,FEMININO,BRANCA,61.0,921.0,BENS_G4,SUPERIOR COMPLETO,APOSENTADO (EXCETO SERVIDOR PÚBLICO),N,NÃO DIVULGÁVEL,15500
MICHELLY CARNEIRO,REPUBLICANOS,Direita,PB,FEMININO,BRANCA,37.0,nan,nan,ENSINO MÉDIO COMPLETO,AGENTE ADMINISTRATIVO,N,NÃO DIVULGÁVEL,10180
MOÉSIO LOIOLA,PP,Direita,CE,MASCULINO,PARDA,71.0,888807.0,BENS_G1,ENSINO MÉDIO COMPLETO,LOCUTOR E COMENTARISTA DE RÁDIO E TELEVISÃO E RADIALISTA,N,NÃO DIVULGÁVEL,11999
MARCELO BINI,PRTB,Direita,SP,MASCULINO,PARDA,49.0,870000.0,BENS_G1,SUPERIOR COMPLETO,EMPRESÁRIO,N,NÃO DIVULGÁVEL,28400
SANDRO TREME CAR,PP,Direita,AC,MASCULINO,NÃO INFORMADO,38.0,nan,nan,ENSINO MÉDIO COMPLETO,EMPRESÁRIO,N,NÃO DIVULGÁVEL,11111
SÉRGIO,PT,Esquerda,SC,MASCULINO,BRANCA,57.0,306000.0,BENS_G2,SUPERIOR COMPLETO,APOSENTADO (EXCETO SERVIDOR PÚBLICO),N,NÃO DIVULGÁVEL,13789
JUSCELINO COSTA,PSDB,Centro,PA,MASCULINO,PRETA,59.0,nan,nan,ENSINO MÉDIO COMPLETO,SERVIDOR PÚBLICO ESTADUAL,N,NÃO DIVULGÁVEL,45007
DR GILVAN FERNANDES,AGIR,Direita,PB,MASCULINO,PRETA,68.0,nan,nan,SUPERIOR COMPLETO,ADVOGADO,N,NÃO DIVULGÁVEL,36556
PAULO GUERREIRO,MDB,Centro,BA,MASCULINO,PRETA,64.0,nan,nan,SUPERIOR INCOMPLETO,APOSENTADO (EXCETO SERVIDOR PÚBLICO),N,NÃO DIVULGÁVEL,15200
ROBERTO BAETA,PSTU,Esquerda,RJ,MASCULINO,PRETA,49.0,nan,nan,SUPERIOR COMPLETO,PROFESSOR DE ENSINO DE PRIMEIRO E SEGUNDO GRAUS,N,NÃO DIVULGÁVEL,16016
ANDREA NERI SANTANA,PSB,Esquerda,SP,FEMININO,PRETA,34.0,69695.0,BENS_G4,SUPERIOR COMPLETO,ADVOGADO,N,NÃO DIVULGÁVEL,40600
ITANILDO REIS,PSD,Direita,RN,MASCULINO,BRANCA,58.0,nan,nan,ENSINO MÉDIO COMPLETO,OUTROS,N,NÃO DIVULGÁVEL,55444
ADRIANO BERNARDO,PDT,Esquerda,RJ,MASCULINO,BRANCA,57.0,1765000.0,BENS_G1,SUPERIOR COMPLETO,ADVOGADO,N,NÃO DIVULGÁVEL,12789
FABIANE DA FRIGONORTE,PATRIOTA,Direita,GO,FEMININO,PARDA,34.0,nan,nan,ENSINO FUNDAMENTAL INCOMPLETO,DONA DE CASA,N,NÃO DIVULGÁVEL,51511
PATRICIA SALES,CIDADANIA,Esquerda,BA,FEMININO,PRETA,46.0,218124.0,BENS_G3,SUPERIOR COMPLETO,OUTROS,N,NÃO DIVULGÁVEL,23012
DR LAURO FERNANDES,UNIÃO,Direita,RO,MASCULINO,BRANCA,43.0,36297.0,BENS_G4,SUPERIOR COMPLETO,ADVOGADO,N,NÃO DIVULGÁVEL,44364
POLICIAL FEDERAL ALINE NOVAIS,PSD,Direita,SP,FEMININO,BRANCA,46.0,597720.0,BENS_G2,SUPERIOR COMPLETO,SERVIDOR PÚBLICO FEDERAL,N,NÃO DIVULGÁVEL,55050
JANAÍNA GOMES,PDT,Esquerda,PE,FEMININO,PRETA,32.0,43678.0,BENS_G4,SUPERIOR COMPLETO,"ESTUDANTE, BOLSISTA, ESTAGIÁRIO E ASSEMELHADOS",N,NÃO DIVULGÁVEL,12555
PROFESSOR MATEUS,PDT,Esquerda,BA,MASCULINO,PRETA,43.0,90000.0,BENS_G3,SUPERIOR COMPLETO,PROFESSOR DE ENSINO MÉDIO,N,NÃO DIVULGÁVEL,12210
CIDA GOMES,PRTB,Direita,TO,FEMININO,PRETA,32.0,nan,nan,ENSINO MÉDIO INCOMPLETO,SECRETÁRIO E DATILÓGRAFO,N,NÃO DIVULGÁVEL,28987
FÁBIO DA JUDIA,AGIR,Direita,AC,MASCULINO,PARDA,34.0,nan,nan,ENSINO FUNDAMENTAL INCOMPLETO,OUTROS,N,NÃO DIVULGÁVEL,36116
AMAURY DA PESCA,PSC,Direita,PA,MASCULINO,PARDA,65.0,16683.0,BENS_G4,SUPERIOR INCOMPLETO,AGENTE ADMINISTRATIVO,N,NÃO DIVULGÁVEL,20888
ALEX CARIOCA,DC,Direita,RJ,MASCULINO,BRANCA,40.0,nan,nan,ENSINO MÉDIO COMPLETO,OUTROS,N,NÃO DIVULGÁVEL,27021
ELIANE ACS,DC,Direita,MG,FEMININO,PRETA,45.0,170000.0,BENS_G3,SUPERIOR INCOMPLETO,AGENTE DE SAÚDE E SANITARISTA,N,NÃO DIVULGÁVEL,27446
DIOGO AVILA,PSC,Direita,MA,MASCULINO,PARDA,37.0,444000.0,BENS_G2,ENSINO MÉDIO COMPLETO,OUTROS,N,NÃO DIVULGÁVEL,20321
ANINHA MELO,PP,Direita,BA,FEMININO,PARDA,58.0,780000.0,BENS_G1,SUPERIOR COMPLETO,OUTROS,N,NÃO DIVULGÁVEL,11044
DR. JOÃO,MDB,Centro,MT,MASCULINO,BRANCA,66.0,290512.0,BENS_G2,SUPERIOR COMPLETO,DEPUTADO,S,NÃO DIVULGÁVEL,15678
CORONEL USAI,PRTB,Direita,SP,MASCULINO,BRANCA,59.0,521683.0,BENS_G2,SUPERIOR COMPLETO,ADVOGADO,N,NÃO DIVULGÁVEL,28290
RUBIVAR NOBRE,PSB,Esquerda,AP,MASCULINO,PARDA,58.0,nan,nan,SUPERIOR COMPLETO,APOSENTADO (EXCETO SERVIDOR PÚBLICO),N,NÃO DIVULGÁVEL,40223
JOSAFÁ ARAÚJO,REDE,Esquerda,PE,MASCULINO,PARDA,70.0,nan,nan,ENSINO MÉDIO COMPLETO,DESENHISTA,N,NÃO DIVULGÁVEL,18523
GIOVANE FERREIRA,NOVO,Direita,SC,MASCULINO,BRANCA,53.0,477343.0,BENS_G2,SUPERIOR COMPLETO,EMPRESÁRIO,N,NÃO DIVULGÁVEL,30111
ADVOGADO CLAUDIO MELCHIORETTO,PSC,Direita,SC,MASCULINO,PARDA,59.0,40000.0,BENS_G4,SUPERIOR COMPLETO,ADVOGADO,N,NÃO DIVULGÁVEL,20111
JOSE CARLOS SCHVALWB,PRTB,Direita,RJ,MASCULINO,BRANCA,53.0,2224381.0,BENS_G1,SUPERIOR COMPLETO,COMERCIANTE,N,NÃO DIVULGÁVEL,28222
DIEGO ALVES,PP,Direita,MG,MASCULINO,PARDA,40.0,642000.0,BENS_G2,ENSINO MÉDIO COMPLETO,PSICÓLOGO,N,NÃO DIVULGÁVEL,11020
WILHER WELTER,PSOL,Esquerda,RS,MASCULINO,BRANCA,28.0,nan,nan,SUPERIOR COMPLETO,PROFESSOR DE ENSINO DE PRIMEIRO E SEGUNDO GRAUS,N,NÃO DIVULGÁVEL,50300
FRANCISCO TENORIO,PP,Direita,AL,MASCULINO,PARDA,59.0,2820508.0,BENS_G1,SUPERIOR COMPLETO,OUTROS,S,NÃO DIVULGÁVEL,11333
PAULINHA SILVA,PATRIOTA,Direita,RJ,FEMININO,PARDA,42.0,63864.0,BENS_G4,ENSINO FUNDAMENTAL COMPLETO,AUXILIAR DE ESCRITÓRIO E ASSEMELHADOS,N,NÃO DIVULGÁVEL,51621
JÚNIOR BRITO,PSD,Direita,PB,MASCULINO,PARDA,36.0,66000.0,BENS_G4,ENSINO MÉDIO INCOMPLETO,"ESTUDANTE, BOLSISTA, ESTAGIÁRIO E ASSEMELHADOS",N,NÃO DIVULGÁVEL,55444
NEUMA PAIVA,PATRIOTA,Direita,RN,FEMININO,BRANCA,57.0,nan,nan,SUPERIOR COMPLETO,PEDAGOGO,N,NÃO DIVULGÁVEL,51888
ANDRÉA ARAUJO DTO. LGBT ANIMAL,NOVO,Direita,RJ,FEMININO,BRANCA,56.0,285867.0,BENS_G2,SUPERIOR COMPLETO,ADVOGADO,N,NÃO DIVULGÁVEL,30303
CABO MELQUISEDEC,PL,Direita,RN,MASCULINO,INDÍGENA,45.0,nan,nan,ENSINO MÉDIO COMPLETO,POLICIAL MILITAR,N,NÃO DIVULGÁVEL,22380
CECÍLIA,REDE,Esquerda,MG,FEMININO,PRETA,54.0,340000.0,BENS_G2,ENSINO FUNDAMENTAL INCOMPLETO,COMERCIANTE,N,NÃO DIVULGÁVEL,18194
AUGUSTINHO ROSA,PSOL,Esquerda,GO,MASCULINO,BRANCA,63.0,213890.0,BENS_G3,SUPERIOR COMPLETO,PROFESSOR DE ENSINO FUNDAMENTAL,N,NÃO DIVULGÁVEL,50050
ERNALDO DE VASCONCELOS,DC,Direita,AM,MASCULINO,PARDA,56.0,4000.0,BENS_G4,SUPERIOR COMPLETO,EMPRESÁRIO,N,NÃO DIVULGÁVEL,27111
ISAC RODSON,AGIR,Direita,GO,MASCULINO,PRETA,33.0,238000.0,BENS_G3,ENSINO FUNDAMENTAL COMPLETO,EMPRESÁRIO,N,NÃO DIVULGÁVEL,36006
MARIA DE FATIMA,PL,Direita,PB,FEMININO,PRETA,49.0,40000.0,BENS_G4,SUPERIOR COMPLETO,EMPRESÁRIO,N,NÃO DIVULGÁVEL,22322
JANETE CARVALHO,REDE,Esquerda,MG,FEMININO,PARDA,52.0,19867.0,BENS_G4,SUPERIOR COMPLETO,OUTROS,N,NÃO DIVULGÁVEL,18881
EDNA DA SAÚDE,PATRIOTA,Direita,PR,FEMININO,BRANCA,54.0,nan,nan,SUPERIOR COMPLETO,ASSISTENTE SOCIAL,N,NÃO DIVULGÁVEL,51008
PAULO VIEIRA DA SILVA,PL,Direita,MG,MASCULINO,BRANCA,60.0,nan,nan,ENSINO FUNDAMENTAL COMPLETO,MOTORISTA DE VEÍCULOS DE TRANSPORTE DE CARGA,N,NÃO DIVULGÁVEL,22302
NENEM DO HELIO,PODE,Direita,MG,MASCULINO,BRANCA,41.0,380167.0,BENS_G2,ENSINO MÉDIO COMPLETO,EMPRESÁRIO,N,NÃO DIVULGÁVEL,19580
